OBJECTID_1,OBJECTID,COUNTY_NAM,CNTY_CODE,Region,Shape_Leng,Shape__Area,Shape__Length
1,1,CLATSOP,007,Northwest,780230.291134,5817006150.88281,342372.7482212
2,2,COLUMBIA,009,Northwest,586399.171007,3689521189.09375,256921.290825711
3,3,WALLOWA,063,Eastern,1382112.87759,16662081017.2734,601885.195961836
4,4,UMATILLA,059,Eastern,1577336.81429,17090820244.9766,686348.37358144
5,5,MORROW,049,Eastern,1109805.35674,10763814276.7891,482130.92127483
6,6,UNION,061,Eastern,1547828.67735,10676404230.0703,670912.317819876
7,7,TILLAMOOK,057,Northwest,1074122.35898,7008235850.0625,466650.575986848
8,8,WASHINGTON,067,Portland Metro,822676.181975,3838750748.125,357967.145107046
9,9,GILLIAM,021,Central,1219272.28814,6419282978.57813,529211.810472141
10,10,MULTNOMAH,051,Portland Metro,812911.370613,2454869186.90625,353583.27460756
11,11,SHERMAN,055,Central,1022860.12053,4366751515.64844,443825.860070915
12,12,HOOD RIVER,027,Central,558528.323707,2813986030.10938,242932.059497836
13,13,WASCO,065,Central,1610949.42485,12479511451.3047,696437.239772547
14,14,CLACKAMAS,005,Clackamas,1185595.00535,9813623515.17188,512507.085458445
15,15,YAMHILL,071,Mid-Valley,781782.387682,3750615898.89844,338223.805259429
16,16,MARION,047,Mid-Valley,1421790.78717,6153322645.42188,611812.034008748
17,17,BAKER,001,Eastern,1823532.6818,15836828837.5547,781853.997340593
18,18,POLK,053,Mid-Valley,644395.604066,3840972763.84375,277235.384521167
19,19,LINCOLN,041,Northwest,873200.599437,6098735126.54688,374300.769277389
20,20,WHEELER,069,Central,1033002.08616,8808260018.86719,443290.756238756
21,21,GRANT,023,Eastern,1819772.66427,23053151163.7188,777745.242503611
22,22,JEFFERSON,031,Central,1142040.40233,9163121211.58594,488903.024656297
23,23,LINN,043,Mid-Valley,1471259.54051,11745465104.2266,628600.610648982
24,24,BENTON,003,Northwest,820956.108137,3448277203.26563,350684.486789626
25,25,CROOK,013,Central,1390911.44309,15026603241.4453,590889.92420584
26,26,MALHEUR,045,Eastern,2515723.74672,48383284220.9414,1053834.35390421
27,27,DESCHUTES,017,Central,1743721.67479,15252206223.25,737298.718387175
28,28,LANE,039,Lane,2121935.19078,23602762971.9063,898245.107074863
29,29,HARNEY,025,Eastern,2430987.99455,49697326767.0508,1014621.30147813
30,30,DOUGLAS,019,South Coast,2252701.35843,25106705060.0156,943648.260158214
31,31,COOS,011,South Coast,1119747.50822,8820959015.67188,468030.758211352
32,32,KLAMATH,035,Central,2035402.6098,29436592640.7578,845444.216314585
33,33,LAKE,037,Central,2278777.24294,40227034432.1836,946784.248165819
34,34,CURRY,015,South Coast,1435017.68366,9497691745.30469,593357.744986602
35,35,JACKSON,029,Southern Oregon,1243637.87823,13325681837.4219,514117.410322615
36,36,JOSEPHINE,033,Southern Oregon,1082508.99229,7789808769.80469,446827.124344376
